listing_id,id,date,reviewer_id,reviewer_name,comments,review_length,review_word_count,sentiment,Topic_Perc_Contrib,Dominant_Topic,Sub_Topic
25953754,837312864440515164,2023-03-01,91073122,Nader, place 1 2 people - location perfect - people friendly laundromat building pl !,79,14,0.734375,0.3614,Customer_Service,Other
24456427,348976185,2018-11-16,219464083,Jayanth, amenities  furnished place,27,3,0.0,0.3126,Customer_Service,Other
53250140,709125262254884047,2022-09-05,39686639,Leona,airbnb  location host mike accommodating  responsive pool fitness center   check-in check-out process straight forward overall  experience  book again!,151,18,0.0333333333333333,0.6573,Customer_Service,Host Interaction and Support
17734836,198246008,2017-09-28,34402901,Jonathan,host canceled reservation 90 days arrival automated posting,59,8,0.0,0.8927,Customer_Service,Host Interaction and Support
814457206229317647,880122673957796346,2023-04-29,129433561,Dusan,apartment exactly i’ve expected description pics clean host gave information needed easy flexible check in,106,15,0.2333333333333333,0.4214,Customer_Service,Host Interaction and Support
31029786,665544207405263316,2022-07-07,220123174,Dean," place, smooth communication curry easy check in amazing views rooftop pool",75,11,0.4777777777777778,0.4297,Customer_Service,Other
36869981,958387342097365638,2023-08-15,470485049,Ysen Russel,"originally booked aug 9-13 flight got delayed quickly informed host changed booking aug 10-15 super easy communicate host transactions smooth arrived thailand around 10:30, got place around 12 booked ride thru host’s recommendation super easy got place, easy thru self check in everything squeaky clean kitchen equipment complete you’re planning cook, make sure ing condiments, salt pepper bed super comfortable, duvet fine little small me everything neatly organized bathrooms, can’t praise enough super clean, plenty tissue bidet first room 2 ac 2nd room 1 fully functional, get  cold overall, experience   it’s standard everytime i’ll book place future host  kind responsive",677,100,0.2193910256410256,0.4207,Customer_Service,Host Interaction and Support
10245086,80422505,2016-06-18,67082845,Yannick, time pim's place! friendly always questions,44,6,0.375,0.5331,Customer_Service,Other
20082530,231628239,2018-02-02,298876,Anneliese,"ed ndees spot missed flight bangkok able quickly meet request place  able check immediately super convenient place airy spacio, close shopping  food options  , thanks ndee!",172,26,0.3833333333333333,0.4245,Customer_Service,Other
743186439192033544,826428769213512315,2023-02-14,47179404,순이,perfect airbnb sure one best airbnb ever experienced course host supportive guest! super recommended,100,14,0.7097222222222221,0.5104,Customer_Service,Host Interaction and Support
36428876,903279751775333303,2023-05-31,432962102,Wai Leong,"host friendly responds messages relatively fast even allow  enter property check time check leave heavy luggage lobby first, go travel need carry luggage around  helpful appreciate much hoe  near 7-eleven (less 1 min walk) convenient (too bad 7-eleven open 24 hours) , hoe near bts wutthakat station (around 4 mins walk), convenient travel town avoid jam room looked similar picture advertised   comfortable amenities provided thank much apinun  hospitality   time bangkok",472,70,0.0583333333333333,0.3063,Customer_Service,Host Interaction and Support
39209293,829356022559849571,2023-02-18,294854608,Karolina,curry responsive helpful; self check-in went smoothly due clear & helpful instructions location korea town lot restaurants awesome drinks vending machine lobby curry’s building!,177,24,0.325,0.3129,Customer_Service,Host Interaction and Support
33726080,932329440613341641,2023-07-10,235670647,원영,숙소가 깔끔해서 좋았습니다 한인 타운 바로 옆이에요 추천드립니다!,36,8,0.0,0.2619,Customer_Service,Other
20225881,284722056,2018-07-02,10728816,Melania,"traveling group 5 people felt happy satisfied everything, host (fast response,  communication informative) place (very strategic location close bts easy get around, easy check-in check out, cleanliness comfort,  facilities amenities, big space) definitely exceeding expectations definitely  consider ing visit bangkok next time",327,42,0.2566666666666666,0.4559,Customer_Service,Host Interaction and Support
